Category: All categories

Week,baseball: (Worldwide),ice cream: (Worldwide)
2012-05-13,85,33
2012-05-20,89,35
2012-05-27,94,36
2012-06-03,99,34
2012-06-10,85,36
2012-06-17,80,36
2012-06-24,69,39
2012-07-01,62,40
2012-07-08,66,38
2012-07-15,63,37
2012-07-22,61,35
2012-07-29,57,33
2012-08-05,51,31
2012-08-12,52,30
2012-08-19,52,29
2012-08-26,46,27
2012-09-02,45,26
2012-09-09,43,24
2012-09-16,45,23
2012-09-23,42,22
2012-09-30,51,21
2012-10-07,51,20
2012-10-14,47,20
2012-10-21,42,22
2012-10-28,34,19
2012-11-04,25,18
2012-11-11,27,19
2012-11-18,23,20
2012-11-25,26,19
2012-12-02,27,19
2012-12-09,27,19
2012-12-16,24,19
2012-12-23,23,22
2012-12-30,27,21
2013-01-06,33,20
2013-01-13,32,19
2013-01-20,34,19
2013-01-27,35,19
2013-02-03,40,19
2013-02-10,45,20
2013-02-17,51,20
2013-02-24,57,20
2013-03-03,70,20
2013-03-10,82,21
2013-03-17,71,21
2013-03-24,67,23
2013-03-31,86,22
2013-04-07,83,23
2013-04-14,77,24
2013-04-21,79,26
2013-04-28,80,27
2013-05-05,79,27
2013-05-12,78,26
2013-05-19,88,27
2013-05-26,92,28
2013-06-02,100,28
2013-06-09,87,29
2013-06-16,78,29
2013-06-23,66,29
2013-06-30,62,33
2013-07-07,63,31
2013-07-14,62,34
2013-07-21,62,33
2013-07-28,61,29
2013-08-04,61,29
2013-08-11,54,27
2013-08-18,57,25
2013-08-25,49,24
2013-09-01,47,23
2013-09-08,44,20
2013-09-15,43,20
2013-09-22,43,19
2013-09-29,44,19
2013-10-06,45,18
2013-10-13,47,18
2013-10-20,39,17
2013-10-27,44,17
2013-11-03,27,16
2013-11-10,26,17
2013-11-17,26,17
2013-11-24,22,17
2013-12-01,26,16
2013-12-08,26,16
2013-12-15,24,17
2013-12-22,22,19
2013-12-29,24,19
2014-01-05,31,19
2014-01-12,32,18
2014-01-19,31,18
2014-01-26,32,19
2014-02-02,35,18
2014-02-09,41,19
2014-02-16,47,19
2014-02-23,52,20
2014-03-02,55,21
2014-03-09,56,22
2014-03-16,61,21
2014-03-23,69,22
2014-03-30,90,23
2014-04-06,84,26
2014-04-13,84,27
2014-04-20,86,24
2014-04-27,82,25
2014-05-04,81,27
2014-05-11,81,28
2014-05-18,89,28
2014-05-25,91,29
2014-06-01,98,29
2014-06-08,79,29
2014-06-15,76,29
2014-06-22,70,30
2014-06-29,59,33
2014-07-06,63,32
2014-07-13,60,33
2014-07-20,62,35
2014-07-27,64,32
2014-08-03,59,30
2014-08-10,56,28
2014-08-17,54,27
2014-08-24,47,25
2014-08-31,41,24
2014-09-07,39,22
2014-09-14,39,21
2014-09-21,40,21
2014-09-28,48,20
2014-10-05,46,20
2014-10-12,41,18
2014-10-19,36,18
2014-10-26,44,17
2014-11-02,26,17
2014-11-09,25,17
2014-11-16,25,18
2014-11-23,22,18
2014-11-30,25,17
2014-12-07,26,18
2014-12-14,24,18
2014-12-21,21,20
2014-12-28,23,21
2015-01-04,29,19
2015-01-11,29,19
2015-01-18,30,19
2015-01-25,31,20
2015-02-01,34,19
2015-02-08,41,20
2015-02-15,44,22
2015-02-22,45,22
2015-03-01,51,22
2015-03-08,57,25
2015-03-15,56,29
2015-03-22,61,26
2015-03-29,68,27
2015-04-05,80,28
2015-04-12,78,28
2015-04-19,78,32
2015-04-26,76,30
2015-05-03,72,30
2015-05-10,76,30
2015-05-17,83,31
2015-05-24,83,33
2015-05-31,93,32
2015-06-07,83,33
2015-06-14,75,33
2015-06-21,66,34
2015-06-28,55,37
2015-07-05,55,34
2015-07-12,57,35
2015-07-19,55,41
2015-07-26,56,34
2015-08-02,52,34
2015-08-09,49,32
2015-08-16,48,30
2015-08-23,47,28
2015-08-30,45,28
2015-09-06,43,27
2015-09-13,42,24
2015-09-20,43,24
2015-09-27,43,22
2015-10-04,51,22
2015-10-11,61,22
2015-10-18,48,21
2015-10-25,39,20
2015-11-01,34,20
2015-11-08,26,20
2015-11-15,25,22
2015-11-22,22,21
2015-11-29,25,19
2015-12-06,26,20
2015-12-13,25,21
2015-12-20,22,23
2015-12-27,22,23
2016-01-03,29,20
2016-01-10,27,21
2016-01-17,29,23
2016-01-24,31,22
2016-01-31,34,22
2016-02-07,35,22
2016-02-14,42,23
2016-02-21,49,24
2016-02-28,55,24
2016-03-06,54,25
2016-03-13,55,27
2016-03-20,62,27
2016-03-27,68,27
2016-04-03,87,27
2016-04-10,81,29
2016-04-17,78,32
2016-04-24,76,30
2016-05-01,76,31
2016-05-08,78,32
2016-05-15,85,32
2016-05-22,88,35
2016-05-29,91,38
2016-06-05,91,35
2016-06-12,77,36
2016-06-19,69,37
2016-06-26,69,37
2016-07-03,55,39
2016-07-10,52,39
2016-07-17,52,47
2016-07-24,52,39
2016-07-31,49,37
2016-08-07,46,33
2016-08-14,42,33
2016-08-21,43,32
2016-08-28,43,31
2016-09-04,42,30
2016-09-11,41,27
2016-09-18,40,26
2016-09-25,47,24
2016-10-02,49,23
2016-10-09,50,24
2016-10-16,46,23
2016-10-23,50,27
2016-10-30,67,27
2016-11-06,26,28
2016-11-13,26,27
2016-11-20,22,27
2016-11-27,25,27
2016-12-04,26,26
2016-12-11,23,26
2016-12-18,21,30
2016-12-25,20,60
2017-01-01,24,24
2017-01-08,27,23
2017-01-15,30,24
2017-01-22,31,24
2017-01-29,33,24
2017-02-05,35,25
2017-02-12,44,26
2017-02-19,52,27
2017-02-26,57,27
2017-03-05,69,27
2017-03-12,74,28
2017-03-19,83,32
2017-03-26,69,32
2017-04-02,82,32
2017-04-09,80,37
2017-04-16,72,33
2017-04-23,72,35
2017-04-30,73,35
2017-05-07,89,44
