Date,Value
2016-08-31,471700.0
2016-07-31,473900.0
2016-06-30,476600.0
2016-05-31,478200.0
2016-04-30,478400.0
2016-02-29,466600.0
2016-01-31,463600.0
2015-12-31,460400.0
2015-11-30,456100.0
2015-10-31,448900.0
2015-09-30,443000.0
2015-08-31,445000.0
2015-07-31,450000.0
2015-06-30,438200.0
2015-05-31,436200.0
2015-04-30,433800.0
2015-03-31,434600.0
2015-02-28,434600.0
2015-01-31,435500.0
2014-12-31,438300.0
2014-11-30,441000.0
2014-10-31,442000.0
2014-09-30,443500.0
2014-08-31,444800.0
2014-07-31,444200.0
2014-06-30,442800.0
2014-05-31,443500.0
2014-04-30,443900.0
2014-03-31,441500.0
2014-02-28,438500.0
2014-01-31,437700.0
2013-12-31,437500.0
2013-11-30,434300.0
2013-10-31,427600.0
2013-09-30,423500.0
2013-08-31,424300.0
2013-07-31,424600.0
2013-06-30,421800.0
2013-05-31,418600.0
2013-04-30,416500.0
2013-03-31,415100.0
2013-02-28,414200.0
2013-01-31,414100.0
2012-12-31,413900.0
2012-11-30,413600.0
2012-10-31,414900.0
2012-09-30,415500.0
2012-08-31,412600.0
2012-07-31,408600.0
2012-06-30,406800.0
2012-05-31,407000.0
2012-04-30,409000.0
2012-03-31,412500.0
2012-02-29,415800.0
2012-01-31,417700.0
2011-12-31,420500.0
2011-11-30,425400.0
2011-10-31,429500.0
2011-09-30,430900.0
2011-08-31,431000.0
2011-07-31,431300.0
2011-06-30,432300.0
2011-05-31,432800.0
2011-04-30,433000.0
2011-03-31,433300.0
2011-02-28,433400.0
2011-01-31,432700.0
2010-12-31,432300.0
2010-11-30,431900.0
2010-10-31,431700.0
2010-09-30,430900.0
2010-08-31,430600.0
2010-07-31,431300.0
2010-06-30,430900.0
2010-05-31,428800.0
2010-04-30,427300.0
2010-03-31,425800.0
2010-02-28,424000.0
2010-01-31,423500.0
2009-12-31,422400.0
2009-11-30,420600.0
2009-10-31,419600.0
2009-09-30,419500.0
2009-08-31,419100.0
2009-07-31,418900.0
2009-06-30,418000.0
2009-05-31,416600.0
2009-04-30,415300.0
2009-03-31,416300.0
2009-02-28,420000.0
2009-01-31,421100.0
2008-12-31,420600.0
2008-11-30,424400.0
2008-10-31,430400.0
2008-09-30,433500.0
2008-08-31,435300.0
2008-07-31,439400.0
2008-06-30,445700.0
2008-05-31,452100.0
2008-04-30,456500.0
2008-03-31,460200.0
2008-02-29,463600.0
2008-01-31,466600.0
2007-12-31,468700.0
2007-11-30,469700.0
2007-10-31,469400.0
2007-09-30,470500.0
2007-08-31,473600.0
2007-07-31,475600.0
2007-06-30,477600.0
2007-05-31,482000.0
2007-04-30,487200.0
2007-03-31,491100.0
2007-02-28,493200.0
2007-01-31,495900.0
2006-12-31,500400.0
2006-11-30,504300.0
2006-10-31,508800.0
2006-09-30,515400.0
2006-08-31,520500.0
2006-07-31,522000.0
2006-06-30,523900.0
2006-05-31,524700.0
2006-04-30,524400.0
2006-03-31,523400.0
2006-02-28,521700.0
2006-01-31,519000.0
2005-12-31,517300.0
2005-11-30,514200.0
2005-10-31,510200.0
2005-09-30,504700.0
2005-08-31,499400.0
2005-07-31,495100.0
2005-06-30,489800.0
2005-05-31,483700.0
2005-04-30,478100.0
2005-03-31,470800.0
2005-02-28,463100.0
2005-01-31,457400.0
2004-12-31,450800.0
2004-11-30,442400.0
2004-10-31,434200.0
2004-09-30,427800.0
2004-08-31,422400.0
2004-07-31,417700.0
2004-06-30,412000.0
2004-05-31,406200.0
2004-04-30,400700.0
2004-03-31,397300.0
2004-02-29,395100.0
2004-01-31,393300.0
2003-12-31,389800.0
2003-11-30,385400.0
2003-10-31,379500.0
2003-09-30,374100.0
2003-08-31,371600.0
2003-07-31,371100.0
2003-06-30,370200.0
2003-05-31,369300.0
2003-04-30,367700.0
2003-03-31,364200.0
2003-02-28,360400.0
2003-01-31,357700.0
2002-12-31,356600.0
2002-11-30,356500.0
2002-10-31,356800.0
2002-09-30,355400.0
2002-08-31,350500.0
2002-07-31,344000.0
2002-06-30,338800.0
2002-05-31,334400.0
2002-04-30,330500.0
2002-03-31,326900.0
2002-02-28,322900.0
2002-01-31,317800.0
2001-12-31,312400.0
2001-11-30,307500.0
2001-10-31,304000.0
2001-09-30,301500.0
2001-08-31,299200.0
2001-07-31,297700.0
2001-06-30,295800.0
2001-05-31,292600.0
2001-04-30,289500.0
2001-03-31,287300.0
2001-02-28,285000.0
2001-01-31,282700.0
2000-12-31,280700.0
2000-11-30,278700.0
2000-10-31,276500.0
2000-09-30,274100.0
2000-08-31,270900.0
2000-07-31,266500.0
2000-06-30,262100.0
2000-05-31,259100.0
2000-04-30,256900.0
2000-03-31,254900.0
2000-02-29,252700.0
2000-01-31,249600.0
1999-12-31,247100.0
1999-11-30,245300.0
1999-10-31,243500.0
1999-09-30,242000.0
1999-08-31,240600.0
1999-07-31,238100.0
1999-06-30,235800.0
1999-05-31,234200.0
1999-04-30,232600.0
1999-03-31,230100.0
1999-02-28,227100.0
1999-01-31,224300.0
1998-12-31,222000.0
1998-11-30,220100.0
1998-10-31,218000.0
1998-09-30,215100.0
1998-08-31,212400.0
1998-07-31,211200.0
1998-06-30,210900.0
1998-05-31,209900.0
1998-04-30,208600.0
1998-03-31,208000.0
1998-02-28,207600.0
1998-01-31,206100.0
1997-12-31,204200.0
1997-11-30,202600.0
1997-10-31,201000.0
1997-09-30,200400.0
1997-08-31,201300.0
1997-07-31,202800.0
1997-06-30,203800.0
1997-05-31,204200.0
1997-04-30,204000.0
1997-03-31,203400.0
1997-02-28,203000.0
1997-01-31,203300.0
1996-12-31,204200.0
1996-11-30,205700.0
1996-10-31,207300.0
1996-09-30,208200.0
1996-08-31,208400.0
1996-07-31,208000.0
1996-06-30,206800.0
1996-05-31,205900.0
1996-04-30,205300.0
